
2025/02/05 (10:56:53) | ===> btop++ v.1.4.0
2025/02/05 (10:56:53) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (21:35:53) | ===> btop++ v.1.4.0
2025/02/05 (21:35:53) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (15:28:01) | ===> btop++ v.1.4.0
2025/02/09 (15:28:01) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (15:28:46) | ===> btop++ v.1.4.0
2025/02/09 (15:28:46) | WARNING: Failed to join _runner thread on exit!

2025/02/09 (19:05:33) | ===> btop++ v.1.4.0
2025/02/09 (19:05:33) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (18:19:53) | ===> btop++ v.1.4.0
2025/02/16 (18:19:53) | WARNING: Failed to join _runner thread on exit!

2025/02/16 (18:20:32) | ===> btop++ v.1.4.0
2025/02/16 (18:20:32) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (14:59:30) | ===> btop++ v.1.4.0
2025/02/19 (14:59:30) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (15:00:21) | ===> btop++ v.1.4.0
2025/02/19 (15:00:21) | WARNING: Failed to join _runner thread on exit!

2025/02/19 (19:22:29) | ===> btop++ v.1.4.0
2025/02/19 (19:22:29) | WARNING: Failed to join _runner thread on exit!

2025/02/21 (09:19:40) | ===> btop++ v.1.4.0
2025/02/21 (09:19:40) | WARNING: Failed to join _runner thread on exit!

2025/02/22 (10:36:02) | ===> btop++ v.1.4.0
2025/02/22 (10:36:02) | WARNING: Failed to join _runner thread on exit!

2025/02/22 (12:06:34) | ===> btop++ v.1.4.0
2025/02/22 (12:06:34) | WARNING: Failed to join _runner thread on exit!

2025/03/01 (10:50:32) | ===> btop++ v.1.4.0
2025/03/01 (10:50:32) | WARNING: Failed to join _runner thread on exit!

2025/03/08 (19:24:06) | ===> btop++ v.1.4.0
2025/03/08 (19:24:06) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (11:43:38) | ===> btop++ v.1.4.0
2025/04/07 (11:43:38) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (12:39:53) | ===> btop++ v.1.4.0
2025/04/09 (12:39:53) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (13:53:19) | ===> btop++ v.1.4.0
2025/04/10 (13:53:19) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (03:38:57) | ===> btop++ v.1.4.0
2025/04/11 (03:38:57) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (12:55:22) | ===> btop++ v.1.4.0
2025/04/14 (12:55:22) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (13:04:12) | ===> btop++ v.1.4.0
2025/04/14 (13:04:12) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (13:16:19) | ===> btop++ v.1.4.0
2025/04/14 (13:16:19) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (16:45:51) | ===> btop++ v.1.4.0
2025/04/14 (16:45:51) | WARNING: Failed to join _runner thread on exit!

2025/04/18 (18:17:47) | ===> btop++ v.1.4.0
2025/04/18 (18:17:47) | WARNING: Failed to join _runner thread on exit!

2025/04/19 (13:08:18) | ===> btop++ v.1.4.0
2025/04/19 (13:08:18) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (17:08:06) | ===> btop++ v.1.4.0
2025/04/26 (17:08:06) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (19:47:37) | ===> btop++ v.1.4.0
2025/04/26 (19:47:37) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (22:36:44) | ===> btop++ v.1.4.0
2025/04/26 (22:36:44) | WARNING: Failed to join _runner thread on exit!

2025/04/27 (14:09:42) | ===> btop++ v.1.4.0
2025/04/27 (14:09:42) | WARNING: Failed to join _runner thread on exit!
